gene_name,epoch,loss
simulation8,9,0.051437523
simulation8,19,0.04301826
simulation8,29,0.045225237
simulation8,39,0.041099567
simulation8,49,0.042208597
simulation8,59,0.044662282
simulation8,69,0.040411796
simulation8,79,0.04251982
simulation8,89,0.052398514
simulation8,99,0.03922869
simulation8,109,0.038225014
simulation8,119,0.05420119
simulation8,129,0.035806466
simulation8,139,0.041095667
simulation8,149,0.039827574
simulation8,159,0.05410145
simulation9,9,0.04825538
simulation9,19,0.045504063
simulation9,29,0.04010562
simulation9,39,0.049916886
simulation9,49,0.038144875
simulation9,59,0.045081798
simulation9,69,0.04932473
simulation9,79,0.04376987
simulation7,9,0.045591697
simulation7,19,0.05379675
simulation7,29,0.041424423
simulation7,39,0.043084625
simulation7,49,0.035564393
simulation7,59,0.04033456
simulation7,69,0.043267548
simulation7,79,0.044227295
simulation6,9,0.052438986
simulation6,19,0.03947391
simulation6,29,0.038542118
simulation6,39,0.04238394
simulation6,49,0.04024666
simulation6,59,0.04136943
simulation4,9,0.06762447
simulation4,19,0.052696675
simulation4,29,0.046567094
simulation4,39,0.04028118
simulation4,49,0.04433517
simulation4,59,0.048990417
simulation4,69,0.037709724
simulation4,79,0.039961684
simulation4,89,0.04695958
simulation4,99,0.039930463
simulation5,9,0.0515619
simulation5,19,0.046167832
simulation5,29,0.045810014
simulation5,39,0.04401256
simulation5,49,0.04459446
simulation5,59,0.039823774
simulation5,69,0.04024139
simulation5,79,0.04253502
simulation5,89,0.039353672
simulation5,99,0.03816224
simulation5,109,0.039393444
simulation5,119,0.040627234
simulation5,129,0.040629268
simulation1,9,0.048332747
simulation1,19,0.04331924
simulation1,29,0.041656177
simulation1,39,0.043951076
simulation1,49,0.0440434
simulation1,59,0.048067372
simulation0,9,0.041286644
simulation0,19,0.04287047
simulation0,29,0.04036272
simulation0,39,0.042743318
simulation0,49,0.0442823
simulation0,59,0.044917714
simulation2,9,0.0485867
simulation2,19,0.045609877
simulation2,29,0.046290115
simulation2,39,0.039125953
simulation2,49,0.04626998
simulation2,59,0.045863688
simulation2,69,0.049483635
simulation3,9,0.044631124
simulation3,19,0.038629673
simulation3,29,0.039153863
simulation3,39,0.039837014
simulation3,49,0.03784926
simulation3,59,0.041445356
simulation3,69,0.03829423
simulation3,79,0.03614077
simulation3,89,0.041711852
simulation3,99,0.041998107
simulation3,109,0.041948576
